file,timestamp_iso,accelerometers_std_g,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,activity_class,activity_counts,activity_intensity,body_position_left,body_position_right,eda_scl_usiemens,met,prv_rmssd_ms,pulse_rate_bpm,respiratory_rate_brpm,sleep_detection_stage,step_counts,temperature_celsius,wearing_detection_percentage,hour,minute,missing_value_reason
cleaned_2024-02-12.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,
cleaned_2024-02-13.csv,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,71.5,0.1,65.0,0.1,0.1,0.1,0.0,0.0,0.0,99.9
cleaned_2024-02-14.csv,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,76.6,2.1,71.5,2.1,2.1,2.1,0.0,0.0,0.0,97.9
cleaned_2024-02-15.csv,0.0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.1,4.1,3.8,3.8,76.4,3.8,71.1,3.8,3.8,3.8,0.0,0.0,0.0,96.2
cleaned_2024-02-16.csv,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.4,20.4,20.0,20.0,90.2,20.0,87.7,20.0,20.0,20.0,0.0,0.0,0.0,80.0
cleaned_2024-02-17.csv,0.0,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.7,11.7,11.6,11.6,59.8,11.6,53.8,11.6,11.6,11.6,0.0,0.0,0.0,88.4
cleaned_2024-02-18.csv,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.6,2.4,2.4,63.1,2.4,54.5,2.4,2.4,2.4,0.0,0.0,0.0,97.6
cleaned_2024-02-19.csv,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.4,3.0,3.0,89.9,3.0,81.9,3.0,3.0,3.0,0.0,0.0,0.0,97.0
cleaned_2024-02-20.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,
cleaned_2024-02-21.csv,0.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,96.6,64.5,95.1,64.5,64.5,64.5,0.0,0.0,0.0,35.5
