timestamp_unix,timestamp_iso,participant_full_id,activity_counts,missing_value_reason
1715472000000,2024-05-12T00:00:00Z,288-1-1-0,38.0,
1715472060000,2024-05-12T00:01:00Z,288-1-1-0,12.0,
1715472120000,2024-05-12T00:02:00Z,288-1-1-0,16.0,
1715472180000,2024-05-12T00:03:00Z,288-1-1-0,66.0,
1715472240000,2024-05-12T00:04:00Z,288-1-1-0,2.0,
1715472300000,2024-05-12T00:05:00Z,288-1-1-0,10.0,
1715472360000,2024-05-12T00:06:00Z,288-1-1-0,35.0,
1715472420000,2024-05-12T00:07:00Z,288-1-1-0,20.0,
1715472480000,2024-05-12T00:08:00Z,288-1-1-0,19.0,
1715472540000,2024-05-12T00:09:00Z,288-1-1-0,7.0,
1715472600000,2024-05-12T00:10:00Z,288-1-1-0,30.0,
1715472660000,2024-05-12T00:11:00Z,288-1-1-0,29.0,
1715472720000,2024-05-12T00:12:00Z,288-1-1-0,14.0,
1715472780000,2024-05-12T00:13:00Z,288-1-1-0,63.0,
1715472840000,2024-05-12T00:14:00Z,288-1-1-0,98.0,
1715472900000,2024-05-12T00:15:00Z,288-1-1-0,104.0,
1715472960000,2024-05-12T00:16:00Z,288-1-1-0,70.0,
1715473020000,2024-05-12T00:17:00Z,288-1-1-0,97.0,
1715473080000,2024-05-12T00:18:00Z,288-1-1-0,15.0,
1715473140000,2024-05-12T00:19:00Z,288-1-1-0,19.0,
1715473200000,2024-05-12T00:20:00Z,288-1-1-0,30.0,
1715473260000,2024-05-12T00:21:00Z,288-1-1-0,62.0,
1715473320000,2024-05-12T00:22:00Z,288-1-1-0,35.0,
1715473380000,2024-05-12T00:23:00Z,288-1-1-0,53.0,
1715473440000,2024-05-12T00:24:00Z,288-1-1-0,0.0,
1715473500000,2024-05-12T00:25:00Z,288-1-1-0,54.0,
1715473560000,2024-05-12T00:26:00Z,288-1-1-0,11.0,
1715473620000,2024-05-12T00:27:00Z,288-1-1-0,14.0,
1715473680000,2024-05-12T00:28:00Z,288-1-1-0,15.0,
1715473740000,2024-05-12T00:29:00Z,288-1-1-0,13.0,
1715473800000,2024-05-12T00:30:00Z,288-1-1-0,21.0,
1715473860000,2024-05-12T00:31:00Z,288-1-1-0,39.0,
1715473920000,2024-05-12T00:32:00Z,288-1-1-0,144.0,
1715473980000,2024-05-12T00:33:00Z,288-1-1-0,114.0,
1715474040000,2024-05-12T00:34:00Z,288-1-1-0,136.0,
1715474100000,2024-05-12T00:35:00Z,288-1-1-0,118.0,
1715474160000,2024-05-12T00:36:00Z,288-1-1-0,45.0,
1715474220000,2024-05-12T00:37:00Z,288-1-1-0,17.0,
1715474280000,2024-05-12T00:38:00Z,288-1-1-0,9.0,
1715474340000,2024-05-12T00:39:00Z,288-1-1-0,52.0,
1715474400000,2024-05-12T00:40:00Z,288-1-1-0,40.0,
1715474460000,2024-05-12T00:41:00Z,288-1-1-0,62.0,
1715474520000,2024-05-12T00:42:00Z,288-1-1-0,21.0,
1715474580000,2024-05-12T00:43:00Z,288-1-1-0,7.0,
1715474640000,2024-05-12T00:44:00Z,288-1-1-0,1.0,
1715474700000,2024-05-12T00:45:00Z,288-1-1-0,27.0,
1715474760000,2024-05-12T00:46:00Z,288-1-1-0,63.0,
1715474820000,2024-05-12T00:47:00Z,288-1-1-0,47.0,
1715474880000,2024-05-12T00:48:00Z,288-1-1-0,28.0,
1715474940000,2024-05-12T00:49:00Z,288-1-1-0,10.0,
1715475000000,2024-05-12T00:50:00Z,288-1-1-0,31.0,
1715475060000,2024-05-12T00:51:00Z,288-1-1-0,104.0,
1715475120000,2024-05-12T00:52:00Z,288-1-1-0,67.0,
1715475180000,2024-05-12T00:53:00Z,288-1-1-0,74.0,
1715475240000,2024-05-12T00:54:00Z,288-1-1-0,50.0,
1715475300000,2024-05-12T00:55:00Z,288-1-1-0,32.0,
1715475360000,2024-05-12T00:56:00Z,288-1-1-0,54.0,
1715475420000,2024-05-12T00:57:00Z,288-1-1-0,83.0,
1715475480000,2024-05-12T00:58:00Z,288-1-1-0,77.0,
